Date,Time,Total Sales ($),Customer Count,Station Breakdown,Weather Conditions,Special Events,Notes
2025-08-13,09:00,150.75,25,"Kitchen: 100.00, Front of House: 50.75","Sunny, 22°C","","Morning rush"
2025-08-13,10:00,220.50,35,"Kitchen: 150.00, Front of House: 70.50","Sunny, 24°C","","Peak breakfast"
2025-08-13,11:00,300.00,50,"Kitchen: 200.00, Front of House: 100.00","Sunny, 26°C","","Lunch prep"
2025-08-13,12:00,450.25,75,"Kitchen: 300.00, Front of House: 150.25","Sunny, 28°C","","Lunch rush"
2025-08-13,13:00,380.50,65,"Kitchen: 250.00, Front of House: 130.50","Sunny, 29°C","","Post-lunch"
2025-08-13,14:00,220.00,40,"Kitchen: 150.00, Front of House: 70.00","Sunny, 30°C","","Afternoon lull"
2025-08-13,15:00,180.75,30,"Kitchen: 120.00, Front of House: 60.75","Sunny, 31°C","","Pre-dinner"
2025-08-13,16:00,320.00,55,"Kitchen: 220.00, Front of House: 100.00","Sunny, 30°C","","Dinner start"
2025-08-13,17:00,480.25,80,"Kitchen: 320.00, Front of House: 160.25","Sunny, 29°C","","Dinner rush"
2025-08-13,18:00,520.50,85,"Kitchen: 350.00, Front of House: 170.50","Sunny, 28°C","","Peak dinner"
2025-08-13,19:00,450.00,75,"Kitchen: 300.00, Front of House: 150.00","Sunny, 27°C","","Evening service"
2025-08-13,20:00,380.25,65,"Kitchen: 250.00, Front of House: 130.25","Sunny, 26°C","","Late dinner"
2025-08-13,21:00,280.50,45,"Kitchen: 180.00, Front of House: 100.50","Clear, 25°C","","Closing time"
2025-08-14,09:00,180.00,30,"Kitchen: 120.00, Front of House: 60.00","Cloudy, 20°C","","Weekend start"
2025-08-14,10:00,280.75,45,"Kitchen: 190.00, Front of House: 90.75","Cloudy, 22°C","","Weekend breakfast"
2025-08-14,11:00,420.00,70,"Kitchen: 280.00, Front of House: 140.00","Cloudy, 24°C","","Weekend brunch"
2025-08-14,12:00,580.25,95,"Kitchen: 380.00, Front of House: 200.25","Cloudy, 25°C","","Weekend lunch"
2025-08-14,13:00,520.50,85,"Kitchen: 350.00, Front of House: 170.50","Cloudy, 26°C","","Weekend peak"
2025-08-14,14:00,380.00,65,"Kitchen: 250.00, Front of House: 130.00","Cloudy, 27°C","","Weekend afternoon"
2025-08-14,15:00,320.75,55,"Kitchen: 220.00, Front of House: 100.75","Cloudy, 28°C","","Weekend pre-dinner"
2025-08-14,16:00,480.00,80,"Kitchen: 320.00, Front of House: 160.00","Cloudy, 29°C","","Weekend dinner start"
2025-08-14,17:00,620.25,100,"Kitchen: 420.00, Front of House: 200.25","Cloudy, 30°C","","Weekend dinner rush"
2025-08-14,18:00,680.50,110,"Kitchen: 450.00, Front of House: 230.50","Cloudy, 31°C","","Weekend peak dinner"
2025-08-14,19:00,580.00,95,"Kitchen: 380.00, Front of House: 200.00","Cloudy, 30°C","","Weekend evening"
2025-08-14,20:00,480.25,80,"Kitchen: 320.00, Front of House: 160.25","Cloudy, 29°C","","Weekend late dinner"
2025-08-14,21:00,380.50,65,"Kitchen: 250.00, Front of House: 130.50","Cloudy, 28°C","","Weekend closing"
